,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
559382,for_sale,688000,2,2,0.1,"49-07 43rd Ave Unit 7R, Woodside, NY, 11377",49-07 43rd Ave,Woodside,New York,11377,,12/17/15
722314,for_sale,659900,2,2,0.04,"23 Atmore Pl, Staten Island, NY, 10306",23 Atmore Pl,Staten Island,New York,10306,1628,1/29/03
785653,for_sale,2395000,2,2,,"126 E 16th St Apt 3B, Manhattan, NY, 10003",126 E 16th St,Manhattan,New York,10003,1600,10/2/07
831389,for_sale,170000,1,1,,"170-40 Highland Ave Unit 602, Jamaica, NY, 11432",170-40 Highland Ave,Jamaica,New York,11432,,
913286,for_sale,739000,3,3,0.13,"31 Avondale Rd, Yonkers, NY, 10710",31 Avondale Rd,Yonkers,New York,10710,1583,3/30/18
874384,for_sale,375000,2,1,,"3111 Brighton 2 St Unit 5C, Brooklyn, NY, 11235",3111 Brighton 2 St,Brooklyn,New York,11235,1100,
557008,for_sale,1640000,2,2,,"33 Frost St Apt 4B, Brooklyn, NY, 11211",33 Frost St,Brooklyn,New York,11211,1129,3/10/21
476986,for_sale,3175000,,,,"25 2nd St, Brooklyn, NY, 11231",25 2nd St,Brooklyn,New York,11231,3600,
818340,for_sale,3095000,2,3,,"202 Broome St Unit 7N, New York City, NY, 10002",202 Broome St,New York City,New York,10002,1358,
858581,for_sale,1850000,2,3,,"155 15th St # B, Brooklyn, NY, 11215",155 15th St,Brooklyn,New York,11215,,
